,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours,Price
45848,2EOinQpyU4ChpyJ4KusO2A,Good Eden Nola Plantmade,"2940 Canal St, Ste A",New Orleans,LA,70119,29.9673057,-90.0906374,4.5,152,1,"{'BusinessAcceptsCreditCards': 'True', 'HasTV': 'False', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""'quiet'"", 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}"", 'Corkage': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'True', 'HappyHour': 'False', 'WiFi': ""u'free'"", 'BYOB': 'False', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True'}","Mediterranean, Coffee & Tea, Food, Restaurants, Juice Bars & Smoothies, Vegan, Cafes, Gluten-Free, Vegetarian",{'Monday': '0:0-0:0'},2
45869,0uAdNV5KUFOgbg42MhDwWQ,McDonald's,9601 Jefferson Hwy,River Ridge,LA,70123,29.9563045,-90.2170289,1.5,10,1,"{'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'HasTV': 'True', 'DriveThru': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsAttire': ""'casual'"", 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'True'}","Fast Food, Burgers, Coffee & Tea, Restaurants, Food","{'Monday': '5:0-23:0', 'Tuesday': '5:0-23:0', 'Wednesday': '5:0-23:0', 'Thursday': '5:0-23:0', 'Friday': '5:0-0:0', 'Saturday': '5:0-0:0', 'Sunday': '5:0-23:0'}",1
45902,GSHT0JSXO7GIvZxZbxrIUw,Papa John's Pizza,231 N Carrollton Ave,New Orleans,LA,70119,29.9760651,-90.0996008,2.0,6,0,"{'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Italian, Pizza, Restaurants",,2
45979,uLp_wwemUq6cAuxPwaZF3Q,Zatarain's Kitchen,"900 Airline Dr, Cocourse D, Louis Armstrong New Orleans International Airport",Kenner,LA,70062,29.9855513855,-90.2542488205,1.5,412,0,"{'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'Alcohol': ""u'full_bar'"", 'WiFi': ""'no'"", 'HasTV': 'True', 'RestaurantsGoodForGroups': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True'}","Seafood, Restaurants, Food, Desserts, Cajun/Creole","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}",2
46170,p7-1xG891NdGrcYBMOvxpw,Bonefish Grill,"4848 Veteran's Memorial Blvd, Ste B",Metairie,LA,70006,30.004870681,-90.1907246899,3.5,242,1,"{'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': None, 'casual': None}"", 'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'HasTV': 'True', 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}"", 'HappyHour': 'True', 'GoodForDancing': 'False', 'RestaurantsTableService': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'CoatCheck': 'False', 'Caters': 'True', 'RestaurantsDelivery': 'True'}","Seafood, Bars, Restaurants, American (New), Cocktail Bars, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}",2
46171,OmsjHUh-b1Y7yVtB_DNotg,Ten Eleven,1011 Gravier St,New Orleans,LA,70112,29.953142,-90.073748,4.0,7,0,"{'RestaurantsPriceRange2': '2', 'HasTV': 'False', 'GoodForKids': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'False', 'BikeParking': 'True', 'WiFi': ""'free'"", 'OutdoorSeating': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': True, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsReservations': 'True', 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Restaurants, American (New)","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0'}",2
46178,CN7jokrm2N1-xonoSaBhNw,Yokohama Sushi,201 Baronne St,New Orleans,LA,70112,29.9532615,-90.0721493,3.5,11,0,"{'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'full_bar'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'False', 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Sushi Bars","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-22:0'}",2
46260,XhGLpXHdnA481n0aHDdkpQ,Swizzle Stick Bar,300 Poydras St,New Orleans,LA,70130,29.9479951,-90.0661447,4.0,145,0,"{'HasTV': 'True', 'GoodForKids': 'False', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'Alcohol': ""'full_bar'"", 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'False', 'WiFi': ""'free'"", 'CoatCheck': 'False', 'RestaurantsTakeOut': 'True', 'HappyHour': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': True, 'saturday': True}""}","Restaurants, Nightlife, Lounges, Bars, American (Traditional)","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '10:0-23:0', 'Sunday': '10:0-23:0'}",2
46293,cfFdnSlMmqQoAb0KDk9IPw,Shawarma On The Run,93 Terry Pkwy,Terrytown,LA,70056,29.922772,-90.0357909,4.5,137,1,"{'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'RestaurantsTableService': 'False', 'Caters': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'WiFi': ""u'paid'"", 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'GoodForMeal': ""{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': False}"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True'}","American (Traditional), Mediterranean, Halal, Middle Eastern, Restaurants","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",2
46298,TUi-pBF220RnOdb4B4JU0Q,American Deli,2755 Manhattan Blvd,Harvey,LA,70058,29.870935199999998,-90.0474583,4.0,6,1,"{'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","American (Traditional), Restaurants, Chicken Wings, Burgers, Fast Food, Delis, Salad","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0'}",
46324,L1rZAQjCJ8qNhpOsNqHGwA,Bourrée,"Boucherie, 8115 Jeannette St",New Orleans,LA,70118,29.9498047127,-90.1278155834,3.5,20,0,"{'RestaurantsDelivery': 'False', 'CoatCheck': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'HappyHour': 'False', 'Smoking': ""u'no'"", 'NoiseLevel': ""u'average'"", 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'GoodForDancing': 'False', 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Music': ""{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}""}","Restaurants, Nightlife, Chicken Wings, Bars, Cocktail Bars","{'Tuesday': '12:0-0:0', 'Wednesday': '12:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-0:0'}",2
46396,boKv2_AvOSF2JRwrSoRI3g,City Greens,5161 Citrus Blvd,New Orleans,LA,70123,29.9641645208,-90.1868913609,3.5,113,0,"{'WheelchairAccessible': 'True', 'RestaurantsTableService': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""'quiet'"", 'OutdoorSeating': 'True', 'BikeParking': 'True', 'Caters': 'True', 'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'None', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': None, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '2', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'True'}","Breakfast & Brunch, Vegetarian, Sandwiches, Restaurants, Soup, Salad","{'Monday': '0:0-0:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-20:0'}",2
46421,M_kUmrxKKvyxSC2VxtnMZQ,Winks World Famous Buttermilk Drop Bakery and Bistro,500 Port Of New Orleans Pl,New Orleans,LA,70130,29.9485328,-90.0629003,2.5,13,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'DriveThru': 'False', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'False', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'OutdoorSeating': 'True'}","Restaurants, Bakeries, Breakfast & Brunch, Food, Burgers","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-19:0'}",1
46440,Hz0p2RasO5tjll-AdjpJqw,Corporation Bar & Grill,931 S Peters St,New Orleans,LA,70130,29.9419873,-90.0660822,4.0,185,1,"{'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'GoodForKids': 'False', 'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'BestNights': ""{'monday': True, 'tuesday': True, 'friday': False, 'wednesday': True, 'thursday': False, 'sunday': False, 'saturday': False}"", 'GoodForDancing': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': True, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'NoiseLevel': ""u'average'""}","Restaurants, Nightlife, Bars, Cajun/Creole","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-0:0'}",1
46490,-_WRjUCVv64YANhed_JGVQ,The Howling Pepper,109 St Rose Ave,Saint Rose,LA,70087,29.94585,-90.316801,4.5,13,0,"{'RestaurantsGoodForGroups': 'True', 'BusinessParking': 'None', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'WiFi': ""'free'"", 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'NoiseLevel': ""'average'""}","Burgers, Restaurants, Sandwiches","{'Monday': '10:30-20:30', 'Tuesday': '10:30-20:30', 'Wednesday': '10:30-20:30', 'Thursday': '10:30-20:30', 'Friday': '10:30-21:0', 'Saturday': '10:30-20:30'}",1
46518,13jzD3emK7N-CtmFW-VzGg,On Faith Donuts,2908 Martin Luther King Blvd,New Orleans,LA,70113,29.9458881551,-90.0879305551,4.0,18,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True', 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Restaurants, Donuts, Food, Bakeries","{'Monday': '6:0-13:0', 'Tuesday': '4:30-12:0', 'Wednesday': '6:0-14:0', 'Thursday': '6:0-16:0', 'Friday': '6:0-16:0', 'Saturday': '6:0-16:0', 'Sunday': '6:0-14:0'}",1
46526,Cj8XGYTnuFQYpORBbOywUA,Italian Pie,125 N Carrollton Ave,New Orleans,LA,70119,29.975317,-90.100311,2.5,15,0,"{'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'RestaurantsDelivery': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'False', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'no'""}","Pizza, Sandwiches, Restaurants, Italian","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0'}",1
46554,96U1zRixy6c4vzmXAxbhHw,The Buttermilk Drop,7801 Airline Dr,Metairie,LA,70003,29.9784496,-90.2204976,3.5,34,0,"{'WiFi': ""'no'"", 'RestaurantsTableService': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""'none'"", 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': True}"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'""}","Restaurants, Cafes, Bakeries, Coffee & Tea, Breakfast & Brunch, Food","{'Monday': '5:0-14:0', 'Tuesday': '5:0-14:0', 'Wednesday': '5:0-14:0', 'Thursday': '5:0-18:0', 'Friday': '5:0-18:0', 'Saturday': '5:0-18:0', 'Sunday': '6:0-14:0'}",1
46618,EvDHYUSTMma0jQdTROMD5Q,Subway Restaurants,"800 Airline Dr, Concourse B, Louis Armstrong New Orleans International Airport",Kenner,LA,70062,29.984223,-90.255969,1.5,90,0,"{'RestaurantsPriceRange2': '1', 'BikeParking': 'False', 'GoodForKids': 'True', 'WiFi': ""u'no'"", 'Caters': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Food, Sandwiches, Restaurants, Fast Food","{'Monday': '5:0-20:0', 'Tuesday': '5:0-20:0', 'Wednesday': '5:0-20:0', 'Thursday': '5:0-20:0', 'Friday': '5:0-20:0', 'Saturday': '5:0-20:0', 'Sunday': '5:0-20:0'}",1
46737,QwawOSEJKaFd5yCYtrN6DQ,Royal Praline Company,300 Royal St,New Orleans,LA,70130,29.9548726,-90.067383,4.0,66,1,"{'BikeParking': 'True', 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""'none'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'NoiseLevel': ""'quiet'"", 'RestaurantsTableService': 'False', 'Caters': 'True', 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'HasTV': 'False', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}""}","Restaurants, Food, Candy Stores, Cajun/Creole, Specialty Food","{'Monday': '0:0-0:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '9:0-22:0'}",2
46776,snV6gaFbAv77wApb8kUJDw,Buffalo Wild Wings,3434 Veterans Memorial Blvd,Metairie,LA,70002,30.002854,-90.1600018144,2.0,230,1,"{'WiFi': ""u'free'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'Alcohol': ""u'full_bar'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'WheelchairAccessible': 'True', 'CoatCheck': 'False', 'NoiseLevel': ""u'very_loud'"", 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'Caters': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'True', 'ByAppointmentOnly': 'False', 'BestNights': ""{'monday': False, 'tuesday': True, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'OutdoorSeating': 'True'}","Sports Bars, Chicken Wings, American (New), Beer, Wine & Spirits, Bars, American (Traditional), Restaurants, Nightlife, Food","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",2
46797,z_37EXfWEVMV4telxsbGMw,Cafe Du Monde Coffee Stand,1 Poydras St,New Orleans,LA,70130,29.949429,-90.062801,4.0,140,0,"{'WiFi': ""u'no'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True'}","Food, Coffee & Tea, Restaurants",,1
